127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001608
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002346
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002221
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002007
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002970
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002269
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002223
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002390
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001774
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002041
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002628
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.004562
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001467
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.004347
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001722
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002240
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001756
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.004253
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.003739
